,Planet,Orbital_Period_(days),Distance_from_Sun_(10^6_km),Eccentricity,Inclination_(deg),Orbital_Speed_(km/s),Mass_(10^24_kg),Diameter_(km),Density_(kg/m^3),Gravity_(m/s^2),Escape_Velocity_(km/s),Magnetic_Field_Strength_(μT),Main_Components,Avg_Temperature_(K),Surface_Pressure_(Pa),Number_of_Moons
0,Mercury,87.9691,57.909,0.2056,7.005,47.8725,0.33022,4879.52,5430,3.7,4.25,,"O2, Na",440,,0
1,Venus,224.701,108.209,0.0068,3.395,35.0214,4.8685,12103.18,5240,8.872,10.36,,"CO2, N2",737,9200000.0,0
2,Earth,365.256,149.598,0.0167,0.0,29.7859,5.9737,12756.3,5515,9.807,11.18,,"N2, O2, Ar",288,101325.0,1
3,Mars,686.98,227.937,0.0934,1.851,24.1309,0.64185,6794.0,3930,3.721,5.02,,"CO2, N2, Ar",210,600.0,2
4,Jupiter,4332.589,778.413,0.0484,1.305,13.0697,1898.7,142985.36,1330,24.79,59.54,,"H2, He",165,,95
5,Saturn,10759.22,1426.726,0.0542,2.484,9.6724,568.51,120534.28,700,10.44,35.49,,"H2, He",135,,146
6,Uranus,30688.5,2870.972,0.0472,0.77,6.8352,86.849,51118.0,1300,8.87,21.29,,"H2, He, CH4",76,,27
7,Neptune,60182.0,4498.253,0.0086,1.769,5.4778,102.44,49528.0,1640,11.15,23.71,,"H2, He, CH4",73,,14
